url,registrable,text
,cg.gov.in," 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: cg.gov.in
Registrable Domain: cg.gov.in

📡 DNS Records:
   A (IPv4): 164.100.150.66
   MX (Mail): mailgw.nic.in
   NS (Nameservers): ns7.nic.in, ns2.nic.in, ns1.nic.in, ns10.nic.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 7388 days
   Days Until Expiry: 281

🌍 Network & Location:
   ASN: 4758
   Country: IN, Jaipur

📊 Metadata:
   First Seen: 2025-10-14T14:43:44.565274+00:00
   Processing Stage: rules:ben"
,hp.gov.in," Domain: hp.gov.in
Registrable Domain: hp.gov.in

📊 Metadata:
   First Seen: 1760453019133"
,andaman.gov.in," 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: andaman.gov.in
Registrable Domain: andaman.gov.in

📡 DNS Records:

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 7452 days
   Days Until Expiry: 217

📊 Metadata:
   First Seen: 2025-10-14T14:43:23.730243+00:00
   Processing Stage: rules:benign"
https://www.wipro.com/,wipro.com,"https://www.wipro.com/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: www.wipro.com
URL: https://www.wipro.com/
Registrable Domain: wipro.com

🔍 Page Features & Analysis:

   URL Structure:
      Length: 22 chars, Entropy: 3.52
      Subdomains: 1, Hyphens: 0, Special Chars: 0

   📝 Forms Detected:
      Total Forms: 2
      Password Fields: 0
      Email Fields: 1
      Submit Buttons: Submit

   📄 Page Content:
      External Links: 49

   🚩 Phishing Keywords Detected: secure

   ⚠️ Java"
https://arunachalpradesh.gov.in/,arunachalpradesh.gov.in,"https://arunachalpradesh.gov.in/ Domain: arunachalpradesh.gov.in
Registrable Domain: arunachalpradesh.gov.in

📡 DNS Records:
   A (IPv4): 160.30.140.24
   NS (Nameservers): ns1.nic.in, ns2.nic.in, ns7.nic.in, ns10.nic.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 7109 days
   Days Until Expiry: 195

🌍 Network & Location:
   ASN: 153213
   Country: IN

📊 Metadata:
   First Seen: 1760452920.775456
   Processing Stage: resolved"
https://chandigarh.gov.in/,chandigarh.gov.in,"https://chandigarh.gov.in/ Domain: chandigarh.gov.in
Registrable Domain: chandigarh.gov.in

📡 DNS Records:
   A (IPv4): 164.100.166.106
   NS (Nameservers): ns2.nic.in, ns10.nic.in, ns7.nic.in, ns1.nic.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 7530 days
   Days Until Expiry: 139

🌍 Network & Location:
   ASN: 4758
   Country: IN

📊 Metadata:
   First Seen: 1760452923.306061
   Processing Stage: resolved"
,ap.gov.in," Domain: ap.gov.in
Registrable Domain: ap.gov.in

📡 DNS Records:
   A (IPv4): 103.129.75.39
   MX (Mail): mailgw.nic.in
   NS (Nameservers): dns4.ap.gov.in, dns1.ap.gov.in, dns2.ap.gov.in, dns5.ap.gov.in, dns3.ap.gov.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 8264 days
   Days Until Expiry: 136

🌍 Network & Location:
   ASN: 137671
   Country: IN

📊 Metadata:
   First Seen: 1760452928.995967
   Processing Stage: resolved"
https://dnh.gov.in/,dnh.gov.in,"https://dnh.gov.in/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: dnh.gov.in
URL: https://dnh.gov.in/
Registrable Domain: dnh.gov.in

🔍 Page Features & Analysis:

   URL Structure:
      Length: 19 chars, Entropy: 3.58
      Subdomains: 1, Hyphens: 0, Special Chars: 0

   📝 Forms Detected:
      Total Forms: 1
      Password Fields: 0
      Email Fields: 0
      Submit Buttons: Search

   📄 Page Content:
      External Links: 60

   ⚠️ JavaScript Behavior:
      🚨 Obfuscated Code Detected"
https://assam.gov.in/,assam.gov.in,"https://assam.gov.in/ 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: assam.gov.in
URL: https://assam.gov.in/
Registrable Domain: assam.gov.in

🔍 Page Features & Analysis:

   URL Structure:
      Length: 21 chars, Entropy: 3.65
      Subdomains: 1, Hyphens: 0, Special Chars: 0

   📄 Page Content:
      External Links: 1

   ⚠️ JavaScript Behavior:

📊 Metadata:
   First Seen: 2025-10-14T14:49:55.058216+00:00
   Processing Stage: rules:benign"
,csir.res.in," Domain: csir.res.in
Registrable Domain: csir.res.in

📊 Metadata:
   First Seen: 1760452966638"
